EPOCH,N_EPOCH,TIME:,LR,BATCH_SIZE,N_PARAM,FRAME_LENGTH,BACKBONE,HIDDEN_SIZE,THX,THH,SP_T_DX,SP_T_DH,SP_T_DV,HW_PARAM,TRAIN_LOSS,VAL_LOSS,VAL_NMSE,VAL_EVM,VAL_ACLR_L,VAL_ACLR_R,VAL_ACLR_AVG,TEST_LOSS,TEST_NMSE,TEST_EVM,TEST_ACLR_L,TEST_ACLR_R,TEST_ACLR_AVG
62,100,35.54883064,0.00050000,256,3818,200,deltagru,15,0,0,0.00000000,0.00498474,0.00356053,1063.63529869,0.00026834,0.00023202,-32.220367,-34.43056978,-39.89134983,-38.06344359,-38.97739671,0.00028500,-31.80388,-34.42081936,-40.28582385,-38.53142551,-39.40862468
63,100,36.11146258,0.00050000,256,3818,200,deltagru,15,0,0,0.00000000,0.00498467,0.00356048,1063.63534775,0.00026403,0.00022804,-32.29605,-34.51271181,-40.02389369,-38.14451135,-39.08420252,0.00028050,-31.873388,-34.51102509,-40.41800175,-38.59822306,-39.50811241
64,100,36.67572498,0.00050000,256,3818,200,deltagru,15,0,0,0.00000000,0.00498482,0.00356058,1063.63524962,0.00025984,0.00022424,-32.368626,-34.59496173,-40.17353681,-38.26487747,-39.21920714,0.00027627,-31.940237,-34.58687516,-40.51666003,-38.71273782,-39.61469892
65,100,37.24117674,0.00050000,256,3818,200,deltagru,15,0,0,0.00000000,0.00498476,0.00356054,1063.63528901,0.00025604,0.00022050,-32.44284,-34.66085820,-40.28162671,-38.31825154,-39.29993913,0.00027177,-32.01101,-34.66443612,-40.63903227,-38.77017458,-39.70460342
66,100,37.80772645,0.00050000,256,3818,200,deltagru,15,0,0,0.00000000,0.00498473,0.00356052,1063.63530859,0.00025215,0.00021713,-32.509716,-34.73569168,-40.42384809,-38.43118925,-39.42751867,0.00026754,-32.07956,-34.74731632,-40.74592138,-38.86953312,-39.80772725
67,100,38.36919857,0.00050000,256,3818,200,deltagru,15,0,0,0.00000000,0.00498470,0.00356050,1063.63532817,0.00024843,0.00021354,-32.58205,-34.79718653,-40.53074625,-38.52091790,-39.52583207,0.00026383,-32.140625,-34.80023339,-40.85090145,-38.96283321,-39.90686733
68,100,38.97236696,0.00050000,256,3818,200,deltagru,15,0,0,0.00000000,0.00498468,0.00356049,1063.63533807,0.00024497,0.00021042,-32.64645,-34.85289577,-40.65323974,-38.60716689,-39.63020331,0.00026035,-32.198383,-34.85581928,-40.94429209,-39.03600881,-39.99015045
69,100,39.55005235,0.00050000,256,3818,200,deltagru,15,0,0,0.00000000,0.00498466,0.00356047,1063.63535766,0.00024134,0.00020687,-32.72079,-34.94045783,-40.77768142,-38.66895598,-39.72331870,0.00025620,-32.267895,-34.94891238,-41.07201232,-39.09137053,-40.08169142
70,100,40.10931601,0.00050000,256,3818,200,deltagru,15,0,0,0.00000000,0.00498467,0.00356048,1063.63534775,0.00023788,0.00020398,-32.781963,-34.99939347,-40.89300555,-38.76691767,-39.82996161,0.00025267,-32.32897,-35.01711213,-41.18966906,-39.18254898,-40.18610902
71,100,40.68041985,0.00050000,256,3818,200,deltagru,15,0,0,0.00000000,0.00498464,0.00356046,1063.63536756,0.00023462,0.00020099,-32.846245,-35.06831321,-41.02449866,-38.87513142,-39.94981504,0.00024916,-32.38965,-35.08229967,-41.28217681,-39.28045453,-40.28131567
